pl_hostname,pl_letter,hd_name,hip_name,ra,dec
Kepler-1530,c,,,288.162502,48.165154
Kepler-1531,b,,,285.146577,39.370798
Kepler-1532,b,,,296.902813,41.198191
Kepler-1533,b,,,295.975556,44.713445
Kepler-1534,b,,,292.395391,43.869072
Kepler-1535,b,,,286.613698,38.891969
Kepler-1536,b,,,291.585187,45.715790
Kepler-1537,b,,,294.385398,43.825470
Kepler-1538,b,,,283.345714,45.274456
Kepler-1539,b,,,284.219433,44.268543
Kepler-1540,b,,,283.344497,41.201741
Kepler-1541,b,,,283.787004,48.029564
Kepler-1542,b,,,285.728495,42.654530
Kepler-1542,c,,,285.728495,42.654530
Kepler-1542,d,,,285.728495,42.654530
Kepler-1542,e,,,285.728495,42.654530
Kepler-314,b,,,294.674114,42.075588
Kepler-316,b,,,290.826023,44.184109
Kepler-318,b,,,298.482828,46.793617
Kepler-32,e,,,297.842398,46.574281
Kepler-320,b,,,293.213548,46.175125
Kepler-322,b,,,281.348824,44.295242
Kepler-324,b,,,286.471473,49.649021
Kepler-325,d,,,289.835434,49.825626
Kepler-327,c,,,292.642372,44.087673
Kepler-329,b,,,299.268042,45.227428
Kepler-331,b,,,291.834328,39.307358
Kepler-332,d,,,286.662964,47.413700
Kepler-334,c,,,287.140668,47.115196
Kepler-336,b,,,290.237643,41.331370
Kepler-341,e,,,289.861576,43.472775
